 2016-06-11 10:30:44,751 [P11124/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.3.1 application starting on DESKTOP-Q8UCU9F
 2016-06-11 10:30:44,847 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-06-11 10:30:44,864 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 17ms)
 2016-06-11 10:30:45,052 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-06-11 10:30:45,174 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 123ms)
 2016-06-11 10:30:45,232 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-06-11 10:30:45,235 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
 2016-06-11 10:30:45,235 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-06-11 10:30:45,237 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2016-06-11 10:30:45,271 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-06-11 10:30:45,273 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
 2016-06-11 10:30:45,273 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-06-11 10:30:45,278 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 5ms)
 2016-06-11 10:30:45,375 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-06-11 10:30:45,376 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 0ms)
 2016-06-11 10:30:45,376 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-06-11 10:30:45,377 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 0ms)
 2016-06-11 10:30:46,773 [P11124/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-11 10:30:47,027 [P11124/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-11 10:30:47,032 [P11124/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-06-11 10:30:47,046 [P11124/D2/T1] WARN  Umbraco.Core.Sync.DatabaseServerMessenger - No last synced Id found, this generally means this is a new server/install. The server will rebuild its caches and indexes and then adjust it's last synced id to the latest found in the database and will start maintaining cache updates based on that id
 2016-06-11 10:30:47,052 [P11124/D2/T1] INFO  umbraco.content - Load Xml from file...
 2016-06-11 10:30:47,070 [P11124/D2/T1] INFO  umbraco.content - Loaded Xml from file.
 2016-06-11 10:30:47,145 [P11124/D2/T1] INFO  umbraco.content - Loading content from database...
 2016-06-11 10:30:48,840 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-06-11 10:30:48,842 [P11124/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 2ms)
 2016-06-11 10:30:48,914 [P11124/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-06-11 10:30:48,915 [P11124/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-06-11 10:30:48,915 [P11124/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-06-11 10:30:48,933 [P11124/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 4264ms)
 2016-06-11 10:30:50,991 [P11124/D2/T13] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://2c3c7b22.ngrok.io:80/umbraco (UmbracoModule request)
 2016-06-11 10:30:52,231 [P11124/D2/T9] INFO  umbraco.content - Save Xml to file...
 2016-06-11 10:30:52,246 [P11124/D2/T18] INFO  umbraco.content - Saved Xml to file.
 2016-06-11 10:30:53,517 [P11124/D2/T13] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-06-11 10:30:53,519 [P11124/D2/T13] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 1ms)
